1001,Aastha Roy,+91 7828939517,aastha.roy@gmail.com,60268,4,722
1002,Tanu Mehta,+91 9148686563,tanu_mehta@daiict.ac.in,27171,4,703
1003,Shreya Ganesh,+91 8029678757,shreya.ganesh@daiict.ac.in,98460,7,708
1004,Neha Raji,+91 9192133945,neha_raji@yahoo.co.in,135151,3,703
1005,Riya Lal,+91 9914493917,riya_lal@hotmail.com,83040,7,725
1006,Abhi Sudha,+91 7322494436,abhi.sudha@daiict.ac.in,128596,0,701
1007,Vikas Veer,+91 8191088158,vikas_veer@gmail.com,40803,6,701
1008,Raj Manohar,+91 7703690516,raj.manohar@hotmail.com,97475,0,713
1009,Tanvi Swami,+91 9737244023,tanvi_swami@yahoo.co.in,102163,9,705
1010,Isha Pawan,+91 8275940127,isha_pawan@hotmail.com,103411,0,713
1011,Anisha Vish,+91 7530763504,anisha.vish@yahoo.co.in,54026,9,723
1012,Raghav Ranga,+91 9128600391,raghav.ranga@hotmail.com,89665,5,709
1013,Vaibhav Lata,+91 8172221767,vaibhav.lata@daiict.ac.in,46385,7,712
1014,Ashish Neela,+91 7770331436,ashish_neela@yahoo.co.in,74758,1,723
1015,Radhika Sahni,+91 7737371769,radhika_sahni@hotmail.com,90300,7,705
1016,Abigail Neel,+91 9200260710,abigail_neel@hotmail.com,22719,6,721
1017,Sanjana Dhawan,+91 9555990829,sanjana.dhawan@hotmail.com,79046,1,704
1018,Krish Samuel,+91 7086890695,krish.samuel@yahoo.co.in,42957,4,705
1019,Manish Chaudhary,+91 9395818927,manish_chaudhary@yahoo.co.in,123714,10,708
1020,Ayushi Suri,+91 8671815232,ayushi.suri@daiict.ac.in,26834,5,719
1021,Priyanka Vish,+91 7285997408,priyanka_vish@daiict.ac.in,104487,3,706
1022,Krish Manju,+91 9902321325,krish.manju@yahoo.co.in,136660,6,703
1023,Nitin Chandra,+91 7772220105,nitin.chandra@yahoo.co.in,77629,2,716
1024,Akash Srivastav,+91 9524018216,akash_srivastav@yahoo.co.in,107264,5,719
1025,Ankur Darsha,+91 7304867684,ankur.darsha@gmail.com,94955,6,719
1026,Ajith Malhotra,+91 7987844060,ajith_malhotra@daiict.ac.in,37106,6,722
