Sanjay Sandeep,sanjay.sandeep@hotmail.com,18,9
Raj Ranga,raj_ranga@hotmail.com,59,9
Seema Manju,seema.manju@hotmail.com,31,50
Natasha Kumar,natasha.kumar@hotmail.com,49,42
Diya Sen,diya.sen@hotmail.com,65,44
Niharika Patel,niharika.patel@daiict.ac.in,65,50
Vivek Mati,vivek.mati@hotmail.com,41,14
Anjali Tyagi,anjali_tyagi@daiict.ac.in,57,32
Raju Neel,raju_neel@daiict.ac.in,10,12
Amit Srini,amit.srini@daiict.ac.in,42,1
Vani Shan,vani_shan@daiict.ac.in,38,12
Sanjana Anand,sanjana_anand@gmail.com,26,35
Tanu Tyagi,tanu.tyagi@daiict.ac.in,16,30
Nitin Saxena,nitin.saxena@gmail.com,65,39
Akansha Sara,akansha_sara@daiict.ac.in,46,3
Riya Jai,riya.jai@daiict.ac.in,16,48
Aswini Mehra,aswini_mehra@gmail.com,11,27
Sadaf Lata,sadaf_lata@daiict.ac.in,49,9
Pavithra Nara,pavithra.nara@hotmail.com,55,41
Pavithra Madan,pavithra.madan@yahoo.co.in,43,45
Nishi Anand,nishi_anand@gmail.com,47,18
Sam Punj,sam_punj@gmail.com,5,26
Nikita Engineer,nikita_engineer@hotmail.com,6,16
Manish Kapoor,manish.kapoor@gmail.com,25,37
Sanjay Subramanian,sanjay_subramanian@daiict.ac.in,52,17
Vishal Saini,vishal.saini@gmail.com,19,32
Nikita Sharma,nikita_sharma@gmail.com,61,40
Amit Rajan,amit.rajan@yahoo.co.in,7,11
Arjun Bhat,arjun_bhat@hotmail.com,40,16
Shivam Lata,shivam_lata@daiict.ac.in,28,31
Abhinav Mittal,abhinav_mittal@hotmail.com,18,22
Deepak Sai,deepak.sai@yahoo.co.in,31,35
Rishabh Malhotra,rishabh_malhotra@hotmail.com,17,18
Raghav Punj,raghav_punj@daiict.ac.in,10,11
Neeraj Goel,neeraj_goel@daiict.ac.in,25,17
Shivangi Subramani,shivangi_subramani@hotmail.com,5,40
Mahesh Srivastav,mahesh_srivastav@gmail.com,12,22
Kumar Swami,kumar_swami@gmail.com,31,27
Krish Neela,krish_neela@gmail.com,46,11
Siya Srivas,siya_srivas@daiict.ac.in,56,38
Seema Pawan,seema.pawan@daiict.ac.in,11,49
Sanjay Puri,sanjay.puri@hotmail.com,7,17
Naveen Kishore,naveen.kishore@hotmail.com,43,48
Rohit Kapoor,rohit_kapoor@yahoo.co.in,33,17
Niharika Rajan,niharika.rajan@hotmail.com,32,19
Riya Malik,riya.malik@daiict.ac.in,33,1
Parth Nirmal,parth_nirmal@gmail.com,52,21
Karan Puri,karan_puri@gmail.com,51,31
Nikita Mati,nikita_mati@yahoo.co.in,49,18
Shreya Dutta,shreya.dutta@hotmail.com,48,42
Rakesh Sai,rakesh_sai@gmail.com,17,22
Priya Manohar,priya_manohar@yahoo.co.in,52,30
Rishabh Srini,rishabh_srini@yahoo.co.in,6,43
Amit Dutta,amit_dutta@daiict.ac.in,7,38
Krishna Chauhan,krishna_chauhan@daiict.ac.in,19,44
Radhika Samuel,radhika.samuel@daiict.ac.in,51,6
Tanya Ranga,tanya.ranga@gmail.com,32,23
Aryan Neel,aryan_neel@hotmail.com,6,15
Yash Subramani,yash_subramani@daiict.ac.in,61,49
Tanya Raje,tanya.raje@daiict.ac.in,42,15
Vinay Darsha,vinay_darsha@hotmail.com,14,34
Krithika Neel,krithika.neel@yahoo.co.in,12,9
Aryan Sehgal,aryan.sehgal@hotmail.com,54,5
Ashish Uddin,ashish_uddin@daiict.ac.in,9,22
Tanya Srivastava,tanya.srivastava@gmail.com,24,32
Karan Vish,karan_vish@yahoo.co.in,5,50
Niharika Patel,niharika.patel@gmail.com,33,48
Ishita Roy,ishita.roy@yahoo.co.in,19,1
Rohan Nath,rohan_nath@yahoo.co.in,57,7
Rakesh Aggarwal,rakesh.aggarwal@hotmail.com,8,10
Neeraj Goel,neeraj.goel@gmail.com,13,31
Kalyani Jai,kalyani_jai@daiict.ac.in,19,7
Tanya Pal,tanya.pal@yahoo.co.in,20,6
Raju Subramani,raju_subramani@hotmail.com,24,35
Priyanka Nath,priyanka.nath@gmail.com,43,50
Pranav Rai,pranav_rai@gmail.com,54,48
Kunal Saini,kunal_saini@gmail.com,31,22
Ankur Bhatt,ankur_bhatt@gmail.com,64,30
Aastha Kumar,aastha.kumar@gmail.com,8,32
Nishita Neela,nishita.neela@daiict.ac.in,17,48
Jay Krishnamurthy,jay_krishnamurthy@daiict.ac.in,5,2
Sakshi Naran,sakshi_naran@daiict.ac.in,61,23
Rishita Pal,rishita_pal@yahoo.co.in,23,2
Amit Sharma,amit.sharma@daiict.ac.in,26,20
Nitin Engineer,nitin_engineer@hotmail.com,26,29
